weight,word
204,love
137,great
128,right
97,good
83,happy
74,well
68,joy
67,best
66,thank
62,win
61,better
60,work
59,support
41,free
40,freedom
32,rich
32,wow
30,respect
28,fun
28,supporter
27,proud
26,swift
23,enough
22,beautiful
21,clearly
21,smart
20,pretty
19,valor
19,hot
18,top
18,super
18,wonder
18,trust
18,glad
18,amazing
17,clear
17,honest
17,important
16,bless
16,awesome
16,nice
15,supporting
15,tough
14,worked
14,promise
14,peace
14,cool
14,afford
13,favorite
13,genuine
13,perfect
12,winning
12,fair
12,affordable
11,lead
11,sweet
11,wholesome
11,benefit
10,welcome
10,protect
10,progressive
10,pride
10,loved
10,strong
9,interesting
9,helped
9,clean
9,wonderful
9,smile
9,secure
9,endorsement
8,successful
8,hero
8,pure
8,qualified
8,easy
8,excited
8,worth
8,correct
8,decent
7,fine
7,hilarious
7,lucky
7,educated
7,appreciate
7,promised
7,endorsed
7,refreshing
7,master
7,intelligent
7,unity
6,appeal
6,safe
6,faith
6,helping
6,loving
6,fantastic
6,enjoy
6,sane
6,decency
6,proper
6,blessing
6,elite
6,wealthy
6,endorsing
5,leading
5,smarter
5,humble
5,greatest
5,intelligence
5,comfortable
5,mercy
5,reform
5,honor
5,willing
5,luck
5,inspiring
5,ready
5,famous
5,lovely
5,incredible
5,wisdom
5,liked
5,skill
5,humor
4,hopeful
4,commitment
4,achievement
4,supreme
4,compassion
4,positive
4,fresh
4,authentic
4,dignity
4,hug
4,compassionate
4,compliment
4,protection
4,kudos
4,popular
4,powerful
4,impressive
4,balanced
4,supported
4,favor
4,incredibly
4,cheer
4,advantage
4,winner
4,victory
4,solid
3,led
3,goodness
3,valuable
3,accomplish
3,sufficient
3,reasonable
3,cute
3,honesty
3,accessible
3,ease
3,happily
3,encouraging
3,excellent
3,qualify
3,warm
3,friendly
3,accomplished
3,proven
3,classy
3,likable
3,brilliant
3,award
3,patient
3,bright
3,charisma
3,charismatic
3,progress
3,prosperity
3,fabulous
3,talent
3,grand
2,richer
2,endorse
2,inspiration
2,admire
2,trustworthy
2,patriot
2,fame
2,succeed
2,glory
2,properly
2,satisfy
2,righteous
2,reward
2,mighty
2,heaven
2,lover
2,priceless
2,bravo
2,dedicated
2,outstanding
2,smiling
2,staunch
2,useful
2,impressed
2,ideal
2,congratulation
2,gain
2,merit
2,worthy
2,ethical
2,brighter
2,woo
2,trophy
2,prominent
2,smartest
2,amusing
2,joyful
2,freed
2,finest
2,rockstar
2,truthful
2,tender
2,thrilled
2,effective
2,attractive
2,delighted
2,defeated
2,gentle
2,gem
2,favour
2,approval
2,innovation
2,stability
2,empower
2,prosperous
2,creative
2,guarantee
2,virtue
2,regard
2,appealing
2,success
2,shine
2,concise
2,holy
2,improved
2,genius
2,convincing
2,harmony
2,skilled
2,beautifully
2,yay
2,calm
2,praise
2,celebrate
2,unbiased
2,stronger
2,boom
2,quiet
2,respectful
2,smooth
2,champion
2,entertaining
1,relief
1,advocated
1,respectfully
1,selective
1,wisely
1,appropriate
1,affirm
1,gained
1,precious
1,courage
1,humane
1,heartwarming
1,golden
1,recovery
1,accolade
1,galore
1,aspire
1,resilient
1,guidance
1,humility
1,warmth
1,productive
1,surreal
1,passionate
1,pep
1,noble
1,miracle
1,magical
1,rapturous
1,jubilation
1,excitedly
1,sincerely
1,grateful
1,intimate
1,unabashed
1,redemption
1,revere
1,admiration
1,influential
1,spirited
1,magic
1,meaningful
1,outshine
1,admirer
1,beneficial
1,correctly
1,cleared
1,articulate
1,prize
1,beauty
1,gleeful
1,accurate
1,amuse
1,courageous
1,fast
1,complement
1,ftw
1,treasure
1,unreal
1,substantive
1,healthy
1,supportive
1,dominate
1,benevolent
1,heavenly
1,instantly
1,graceful
1,trusted
1,salute
1,relish
1,eager
1,savvy
1,diplomatic
1,pleased
1,sensational
1,graciousness
1,rightful
1,respectable
1,gifted
1,reputable
1,soft
1,patriotic
1,enthusiasm
1,coherent
1,appreciative
1,affluent
1,lean
1,decisive
1,advocate
1,uphold
1,exceptional
1,prefer
1,steady
1,loyalty
1,honored
1,excel
1,groundbreaking
1,wise
1,gladly
1,innovative
1,improving
1,significant
1,backbone
1,astounding
1,lovable
1,prominence
1,workable
1,believable
1,convenient
1,sensible
1,premier
1,clarity
1,enthusiast
1,spotless
1,outdo
1,adore
1,strongest
1,benifits
1,defeating
1,pleasant
1,witty
1,comfort
1,fav
1,triumph
1,fervently
1,romantic
1,privilege
1,cheaper
1,complementary
1,dynamic
1,ovation
1,breakthrough
1,soundly
1,sharp
1,boost
1,brave
1,booming
1,confidence
1,knowledgeable
1,facilitate
1,fiery
1,peaceful
1,illuminati
1,energetic
1,entertain
1,talented
1,promising
1,consistent
1,truthfulness
1,truthfully
1,prowess
1,optimism
1,integrated
1,happiness
1,perfectly
1,transparent
1,classic
1,praising
1,accomplishment
1,instrumental
1,precise
1,envy
1,liberty
1,pleasure
1,exciting
1,brotherly
1,loyal
1,encourage
1,awarded
1,poised
1,beloved
1,appreciated
1,sincere
1,plentiful
1,sensitive
1,handsome
1,convenience
1,fortune
1,clever
1,kindness
1,modern
1,seasoned
1,capable
1,slick
1,charm
1,delightful
1,idol
1,succeeded
1,eloquent
1,thoughtful
1,rightfully
1,consistently
1,gleefully
1,approve
1,willingness
1,proving
1,openly
1,stunned
1,dominated
1,grace
1,benefactor
1,defeat
