weight,word
423,love
408,great
321,right
304,thank
253,good
236,better
218,well
215,best
196,win
178,support
143,work
114,free
98,enough
80,wow
73,wonder
71,respect
59,amazing
57,peace
57,nice
53,proud
53,pretty
51,strong
47,awesome
46,humor
45,wisdom
44,freedom
44,clear
43,clearly
39,rich
38,perfect
38,top
37,supporter
37,trust
37,bless
37,important
37,supporting
36,greatest
36,protect
36,lead
36,happy
35,strongest
35,approve
34,glad
33,safe
32,honest
32,fun
32,easy
32,afford
32,peaceful
31,mighty
31,excellent
29,fine
29,ready
29,hilarious
28,accomplishment
28,sharp
27,wonderful
25,capable
24,decent
24,loved
24,leading
23,coherent
23,positive
22,smart
22,fast
22,wise
22,appreciate
22,benefit
21,elite
21,powerful
21,promised
20,interesting
20,enjoy
19,worked
19,accomplished
19,fair
19,progressive
18,intelligent
18,supreme
18,victory
18,healthy
18,willing
18,helping
18,hero
18,compassion
18,led
18,worth
18,approval
17,patient
17,gain
17,beautiful
17,proven
16,promise
16,holy
15,successful
15,prefer
15,dignity
15,qualified
15,super
15,master
14,handsome
14,empathy
14,popular
14,progress
14,winning
14,favorite
14,incredible
13,smile
13,fantastic
13,educated
13,helped
13,gold
12,cool
12,secure
12,advantage
11,energetic
11,stronger
11,loving
11,blessing
11,welcome
11,significant
11,excited
11,correct
11,enjoyed
11,protection
11,brilliant
11,available
11,grateful
11,honor
11,calm
11,endorsed
10,skill
10,sane
10,hot
10,defeat
10,humour
10,decency
10,truthful
10,refreshing
10,modern
10,sincerely
9,bright
9,silent
9,faith
9,clean
9,intelligence
9,fresh
9,fabulous
9,goodness
9,regard
9,improve
9,admire
9,mercy
9,thankful
9,luck
9,worthy
8,easier
8,accurate
8,pure
8,confidence
8,incredibly
8,effective
8,honesty
8,lucky
8,success
8,hopeful
8,supported
8,patriot
8,unity
7,lean
7,solid
7,favor
7,prosperity
7,achievement
7,thoughtful
7,reform
7,bravo
7,ethical
7,enjoying
7,proper
7,cheer
7,brave
7,famous
7,dynamic
6,impressed
6,smiling
6,kindness
6,pride
6,trumpet
6,tough
6,clever
6,kudos
6,remarkable
6,liked
6,helpful
6,stable
6,humble
6,compassionate
6,gratitude
6,grace
6,celebrate
6,articulate
6,soft
6,comfortable
6,endorse
5,perfectly
5,gracefully
5,relief
5,sustainable
5,friendly
5,transparent
5,charismatic
5,valuable
5,correctly
5,sweet
5,finest
5,outstanding
5,priceless
5,optimism
5,courage
5,patriotic
5,inspiring
5,wealthy
5,rational
5,appeal
5,impressive
5,trusted
5,wellbeing
5,endorsement
5,praise
5,magic
4,champion
4,genuine
4,warm
4,savior
4,spiritual
4,righteous
4,whoa
4,assure
4,stability
4,improved
4,cute
4,applaud
4,cheaper
4,reasonable
4,talented
4,steady
4,witty
4,reputation
4,recommend
4,ideal
4,thrive
4,affordable
4,congratulation
4,heal
4,productive
4,golden
4,classy
4,commitment
4,humorous
4,classic
4,dignified
4,logical
4,lucid
4,encouraging
4,endorsing
4,quiet
4,unreal
4,effectively
4,peacefully
4,profound
4,heaven
3,beauty
3,everlasting
3,faster
3,safely
3,miracle
3,salute
3,advanced
3,contribution
3,recommendation
3,confident
3,greatness
3,influential
3,straightforward
3,perfection
3,defeating
3,richer
3,pardon
3,genius
3,consistently
3,promising
3,charm
3,yay
3,gem
3,courageous
3,cure
3,divine
3,prosperous
3,humility
3,inspiration
3,defender
3,smooth
3,properly
3,improving
3,virtue
3,loyalty
3,booming
3,gaining
3,diplomatic
3,kindly
3,uphold
3,adore
3,maturity
3,smarter
3,nicely
3,appreciated
3,openly
3,guarantee
3,balanced
3,merit
3,fortunate
3,exciting
3,talent
3,hug
3,striking
3,sensitive
3,restored
3,grand
3,advocate
3,engaging
3,endorses
3,reward
3,thriving
3,succeed
3,credible
2,breeze
2,glow
2,grin
2,entertain
2,fascinating
2,happiness
2,useful
2,innovation
2,indebted
2,beautifully
2,recovery
2,robust
2,clearer
2,qualify
2,respectful
2,favorable
2,boost
2,exceed
2,succeeded
2,astounding
2,optimistic
2,successfully
2,spectacular
2,vigilant
2,inspirational
2,shine
2,optimal
2,dominated
2,recommended
2,praising
2,accomplish
2,handy
2,treasure
2,impress
2,exceptional
2,willingness
2,authentic
2,terrific
2,knowledgeable
2,invaluable
2,enthusiastic
2,honorable
2,exceeded
2,spirited
2,ambitious
2,bonus
2,precious
2,respectable
2,sharper
2,reliable
2,morality
2,liberty
2,superior
2,survival
2,gained
2,happily
2,stunning
2,consistent
2,fancy
2,impartial
2,appreciates
2,consummate
2,mature
2,believable
2,unconditional
2,suitable
2,dominate
2,polite
2,appropriate
2,ovation
2,favored
2,humane
2,cleared
2,improvement
2,supremacy
2,easiest
2,lover
2,convenient
2,fairly
2,passion
2,amazingly
2,readily
2,cheapest
2,reputable
2,empower
2,comprehensive
2,trustworthy
2,deservedly
2,refund
2,zeal
2,illuminating
2,celebrated
2,enlightenment
2,glory
2,lovely
2,bravery
2,defeated
2,legendary
2,toughest
2,gorgeous
2,astonishing
2,joy
2,freed
2,refined
2,instantly
2,sensible
2,timely
2,verifiable
2,sufficient
2,capability
2,noble
2,unmatched
2,recover
2,orderly
2,destiny
1,agility
1,dawn
1,blissfully
1,coolest
1,graciously
1,obsession
1,realistic
1,saint
1,sparkle
1,angelic
1,illustrious
1,stabilize
1,prominent
1,passionate
1,contentment
1,dedicated
1,excellency
1,immaculately
1,diligent
1,colorful
1,calming
1,unassailable
1,comfort
1,fiery
1,memorable
1,lush
1,encouragement
1,pleasure
1,hail
1,unlimited
1,warmth
1,mightily
1,smitten
1,revere
1,enhanced
1,comforting
1,stellar
1,slick
1,adorable
1,wholesome
1,warmer
1,revolutionary
1,accurately
1,uplifting
1,renowned
1,unwavering
1,distinguished
1,prize
1,phenomenal
1,improves
1,charming
1,delighted
1,precise
1,brighter
1,upbeat
1,rightly
1,motivated
1,surpass
1,devout
1,splendid
1,patience
1,tenacity
1,innovative
1,heartily
1,feisty
1,gladly
1,enthusiasm
1,tenacious
1,undisputed
1,amazes
1,gifted
1,charisma
1,effortlessly
1,erudite
1,award
1,admirable
1,seasoned
1,humourous
1,resilient
1,breakthrough
1,bountiful
1,achievable
1,cohesive
1,eloquent
1,smoothly
1,considerate
1,reformed
1,excellence
1,overtaken
1,subsidized
