weight,word
114,great
108,right
96,good
79,love
64,well
49,work
47,better
47,win
42,best
39,support
36,bless
27,thank
25,free
24,enough
23,wow
20,smart
19,trust
18,clearly
18,amazing
16,freedom
16,intelligent
15,protect
14,strong
14,worked
13,supporting
13,proud
12,honest
12,supporter
12,brilliant
12,respect
12,wonder
11,decent
11,pretty
11,peace
11,top
11,nice
10,rich
10,fair
10,perfect
10,beautiful
9,secure
9,intelligence
9,important
8,greatest
8,hilarious
8,liberty
8,awesome
7,patriot
7,promise
7,easy
7,elite
7,clean
7,successful
7,safe
7,glad
7,protection
7,loving
7,loyal
7,positive
6,respectful
6,welcome
6,lovely
6,lead
6,appreciate
6,articulate
6,fine
6,supported
6,happy
6,super
6,favor
6,wonderful
6,ready
6,happiness
6,success
5,liked
5,benefit
5,fantastic
5,proper
5,available
5,clear
5,incredible
5,honesty
5,ideal
5,logical
5,qualified
5,congratulation
5,sincere
5,smarter
5,loyalty
5,divine
5,luck
5,modern
5,peaceful
5,excellent
5,smile
5,mercy
5,humble
5,faith
4,favorite
4,trustworthy
4,popular
4,appeal
4,worth
4,believable
4,excited
4,blessing
4,winning
4,grace
4,refreshing
4,leading
4,supreme
4,educated
4,skill
4,superior
4,reward
4,tough
4,interesting
4,flexible
4,advocate
4,gain
4,capable
4,prosperity
4,goodness
4,winner
3,trusting
3,willing
3,incredibly
3,convincing
3,proven
3,fast
3,supportive
3,recommend
3,cute
3,useful
3,ambitious
3,genius
3,aspiration
3,honorable
3,correctly
3,classy
3,dynamic
3,helping
3,fun
3,wealthy
3,afford
3,honor
3,impressive
3,joy
3,greatness
3,wise
3,accurate
3,hero
3,approval
3,reasonable
3,endorses
3,bright
3,guarantee
3,regard
3,improvement
3,fresh
2,loved
2,truthful
2,generous
2,hot
2,revelation
2,sincerely
2,entertain
2,humor
2,effectively
2,successfully
2,knowledgeable
2,defeat
2,defeated
2,heavenly
2,holy
2,finest
2,peacefully
2,enjoy
2,master
2,thankful
2,strongest
2,smooth
2,prosperous
2,lover
2,applaud
2,unity
2,phenomenal
2,genuine
2,slick
2,praise
2,gained
2,prosper
2,champion
2,trusted
2,formidable
2,consistently
2,credible
2,classic
2,endorsement
2,decency
2,gentle
2,prefer
2,wisdom
2,admiration
2,impressed
2,grand
2,powerful
2,pure
2,heaven
2,foremost
2,savior
2,gracious
2,beloved
2,promised
2,correct
2,stunning
2,enjoyed
2,worthy
2,prominent
2,heroine
2,inspiring
2,lucky
2,sweet
2,talent
1,patient
1,reverent
1,cheerful
1,charismatic
1,friendly
1,sane
1,obsession
1,efficient
1,rapid
1,richer
1,calm
1,significant
1,quicker
1,productive
1,willingness
1,affordable
1,adequate
1,convenience
1,sufficient
1,lawful
1,uphold
1,commitment
1,thrive
1,stronger
1,respectfully
1,accessible
1,credence
1,passion
1,inspire
1,silent
1,righteousness
1,comfort
1,exceptional
1,fame
1,dedicated
1,encouragement
1,led
1,pardon
1,doubtless
1,amazes
1,beauty
1,superiority
1,guiltless
1,amazingly
1,stable
1,faster
1,sophisticated
1,fortunately
1,amazed
1,smoothly
1,nicer
1,celebrated
1,boom
1,righteous
1,morality
1,achievement
1,properly
1,homage
1,redeeming
1,outshine
1,dependable
1,prefered
1,compassionate
1,darling
1,endorsed
1,sweetheart
1,reform
1,unbeatable
1,precious
1,comfortable
1,magnificent
1,talented
1,exciting
1,accomplish
1,nicely
1,instrumental
1,openly
1,grateful
1,clearer
1,diplomatic
1,pleasant
1,succeed
1,smiling
1,survivor
1,ease
1,ideally
1,mature
1,famous
1,improve
1,outdo
1,pleasing
1,playful
1,compliment
1,promising
1,admire
1,warm
1,harmless
1,favorited
1,quiet
1,dignity
1,polished
1,solidarity
1,wisely
1,succeeding
1,heal
1,terrific
1,everlasting
1,covenant
1,reverence
1,mighty
1,vouch
1,decisive
1,sharpest
1,brighter
1,enjoying
1,cleaner
1,boost
1,fortune
1,appealing
1,pride
1,brightest
1,intriguing
1,balanced
1,perfectly
1,insightful
1,clever
1,smartest
1,miraculous
1,survival
1,lean
1,redeem
1,sharp
1,tranquility
1,handsome
1,trumpet
1,ethical
1,backbone
1,ingenious
1,favour
1,revolutionize
1,restored
1,fortitude
1,hug
1,fairness
1,triumph
1,glory
1,eloquent
1,victory
1,yay
1,flawless
1,accomplished
1,reasoned
1,exonerate
1,truthfully
1,masterpiece
1,elegant
1,witty
1,heartfelt
1,attractive
1,helped
1,relief
1,thrilled
1,empathy
1,charisma
1,affirmative
1,luxury
1,pleasantly
1,sensible
1,agile
1,patience
1,swift
1,unbiased
1,impartial
1,adore
1,consistent
1,endorse
1,respite
1,abundant
1,variety
1,solid
1,inspirational
1,recover
