weight,word
1290,trump
656,like
433,love
275,thank
272,right
257,great
219,good
184,win
183,well
163,better
149,work
140,support
128,best
120,proud
108,wow
96,respect
86,rich
86,free
85,endorsement
80,beautiful
76,freedom
75,enough
65,nice
62,endorsing
57,endorse
55,wonder
53,trust
53,amazing
50,supporting
48,important
43,supporter
43,loved
43,top
42,elite
40,protect
37,clear
36,ready
35,peace
35,smart
35,happy
35,bless
33,intelligent
32,joy
32,clearly
32,endorsed
31,awesome
31,lead
30,promise
29,pretty
29,glad
28,fun
28,perfect
28,powerful
27,honest
26,favorite
26,hero
25,strong
25,afford
25,cool
24,hilarious
22,wonderful
22,benefit
21,smile
21,famous
20,endorses
19,winning
19,supreme
19,interesting
18,genuine
18,promised
18,intelligence
18,worked
17,lovely
17,positive
17,excellent
16,appreciate
16,worth
15,safe
15,courage
14,easy
14,unity
14,openly
14,humble
14,authentic
13,helping
13,wealthy
13,fine
13,pure
13,qualified
13,hot
13,willing
13,honor
12,proven
12,loving
12,decent
12,super
12,greatest
12,smarter
12,patriot
12,educated
11,victory
11,luck
11,brilliant
11,excited
10,refreshing
10,helped
10,enjoy
10,advantage
10,happiness
9,correct
9,pride
9,liked
9,clean
9,swift
9,welcome
9,protection
9,grace
9,cute
9,fair
9,goodness
9,faith
9,holy
8,smiling
8,enjoyed
8,reputation
8,humor
8,encourage
8,blessing
8,hug
8,brave
8,heartfelt
8,convincing
8,articulate
7,gain
7,privilege
7,healthy
7,progress
7,secure
7,proper
7,beautifully
7,popular
7,liberty
7,winner
7,fearless
7,dignity
6,golden
6,solid
6,fresh
6,fast
6,leading
6,favor
6,classy
6,accurate
6,triumph
6,accomplished
6,fantastic
6,wise
6,quiet
6,defeat
6,improve
6,stronger
6,mercy
6,bright
6,comfort
6,wisely
6,effective
5,led
5,adorable
5,respectful
5,sweet
5,cheer
5,skill
5,enjoying
5,decency
5,incredible
5,ideal
5,successful
5,supported
5,heaven
5,joyful
5,success
5,truthful
5,impressed
5,prosperity
5,affordable
5,easier
5,sincere
5,admire
5,master
5,congratulation
5,talent
5,calm
5,sane
5,contribution
5,compassion
4,outstanding
4,modern
4,coherent
4,approve
4,perfectly
4,confidence
4,hopeful
4,inspiring
4,relief
4,capable
4,sensible
4,meaningful
4,gained
4,tough
4,gold
4,grateful
4,sincerely
4,stable
4,strongest
4,poised
4,gorgeous
4,beauty
4,bravo
4,thriving
4,harmony
4,treasure
4,patriotic
4,praise
4,mighty
4,progressive
4,comfortable
4,heartwarming
4,uplifting
4,wonderfully
4,revelation
4,prefer
4,honesty
4,virtue
4,promising
4,passion
4,entertaining
3,faithful
3,successfully
3,appeal
3,qualify
3,motivated
3,correctly
3,wellbeing
3,inspiration
3,credible
3,lover
3,liking
3,consistently
3,hail
3,guarantee
3,realistic
3,warm
3,fortunate
3,elegant
3,appreciated
3,relaxed
3,destiny
3,reward
3,handsome
3,rightly
3,cherish
3,cure
3,champion
3,spiritual
3,surreal
3,honorable
3,helpful
3,kudos
3,nicely
3,accomplishment
3,salute
3,idol
3,fascinating
3,worthy
3,achievement
3,richer
3,pardon
3,incredibly
3,empathy
3,marvel
3,cheaper
3,prize
3,eloquent
3,accomplish
3,fame
3,brightest
3,sexy
3,patience
3,appropriate
2,boost
2,compassionate
2,wholesome
2,lucky
2,patient
2,trusted
2,properly
2,approval
2,wisdom
2,dominate
2,fairness
2,inspirational
2,commitment
2,brighter
2,stability
2,recovery
2,unlimited
2,peacefully
2,victorious
2,suitable
2,saint
2,confident
2,classic
2,empowerment
2,priceless
2,fabulous
2,advanced
2,envy
2,thoughtful
2,likable
2,stellar
2,grin
2,influential
2,positively
2,togetherness
2,comfortably
2,profound
2,favour
2,righteousness
2,precious
2,richness
2,glorify
2,impressive
2,chic
2,sincerity
2,improvement
2,survivor
2,privileged
2,bravery
2,fairly
2,transparent
2,freed
2,terrific
2,amazed
2,uphold
2,grand
2,loyalty
2,reasonable
2,heroic
2,lean
2,cherished
2,hallmark
2,luxury
2,sensitive
2,smartest
2,happily
2,genius
2,effectively
2,admiration
2,soft
2,ftw
2,glory
2,dedicated
2,abundance
2,instantly
2,illuminati
2,pep
2,guidance
2,passionate
2,righteous
2,engaging
2,willingly
2,delicious
1,rewarding
1,thankful
1,warmth
1,admiring
1,eloquently
1,gaining
1,poise
1,flawless
1,glowing
1,flattering
1,graciously
1,rational
1,miracle
1,compliment
1,quicker
1,insightful
1,awsome
1,favored
1,gratification
1,angel
1,prosper
1,friendly
1,passionately
1,romantic
1,superiority
1,uplift
1,appreciative
1,merry
1,astounded
1,masterfully
1,consistent
1,talented
1,breathtaking
1,useful
1,attractive
1,darling
1,humour
1,perseverance
1,warmly
1,divine
1,pleasure
1,upbeat
1,knowledgeable
1,cleanest
1,spirited
1,humility
1,friendliness
1,enjoyable
1,contentment
1,cozy
1,aspire
1,shine
1,beckons
1,celebrate
1,exciting
1,marvelous
1,awesomeness
1,greatness
1,dynamic
1,yay
1,suave
1,sophisticated
1,joyous
1,charisma
1,cheerful
1,adore
1,prosperous
1,homage
1,magnificent
1,lighter
1,peach
1,tenacity
1,boom
1,distinction
1,intuitive
1,elegantly
1,expertly
1,backbone
1,divinely
1,advantageous
1,exuberance
1,endearing
1,merit
1,excellence
1,pleasant
1,paramount
1,remarkable
1,redeeming
1,tenacious
1,neatly
1,proficiently
1,excel
1,fearlessly
1,comprehensive
1,gentle
1,thoughtfulness
1,attraction
1,richly
1,stunned
1,revive
1,superior
1,soulful
1,worthwhile
1,gifted
1,rejoice
1,ambitious
1,honoring
1,regard
1,eager
1,empathize
1,pleased
1,redemption
1,noble
1,creative
1,assuring
1,efficient
1,unparalleled
1,unreal
1,peaceful
1,bonus
1,enticing
1,unrestricted
1,affirmative
1,truthfulness
1,simpler
1,clever
1,beloved
1,morality
1,noteworthy
1,improves
1,bargain
1,convenient
1,preferable
1,accolade
1,powerfully
1,thrilling
1,kindness
1,magic
1,monumental
1,foremost
1,concise
1,memorable
1,relish
1,silent
1,exceed
1,willingness
1,defeated
1,gracious
1,wholeheartedly
1,pleasing
1,respectfully
1,courageous
1,fortitude
1,enlighten
1,beneficial
1,sufficient
1,loyal
1,succeeded
1,unselfish
1,illuminate
1,valuable
1,fav
1,trusting
1,vivid
1,poetic
1,perfection
1,remedy
1,courageously
1,finest
1,resilient
1,enthusiasm
1,variety
1,prompt
1,significant
1,reform
1,dazzle
1,supremacy
1,refund
1,trumpet
1,gladly
1,happier
1,understandable
1,sensibly
1,tougher
1,fortune
1,advocated
1,advocate
1,assure
1,economical
1,vouch
1,earnest
1,fortunately
1,smoothly
1,convenience
1,devout
1,fastest
1,amaze
1,unbeatable
1,heavenly
1,applaud
1,lively
1,compatible
1,enhancement
1,precise
1,solidarity
1,clarity
1,tranquility
1,award
1,astonishing
1,equitable
1,audibly
1,mesmerized
1,capability
1,appealing
1,awe
1,extraordinary
1,charitable
1,prestige
1,charm
1,woo
1,stunning
1,entice
1,acumen
1,unconditional
1,instrumental
1,maturity
