Palabra,Donald Trump.csv,,James David Vance.csv,,Joe Biden.csv,,Kamala Harris.csv,,Tim Walz.csv,Sentimiento
trump,2486,,779,,1794,,1290,,687,Positiva
wa,906,,303,,1056,,769,,421,Neutral
people,661,,274,,951,,974,,402,Neutral
like,621,,238,,799,,656,,354,Positiva
president,521,,175,,1525,,644,,174,Neutral
biden,458,,82,,2502,,208,,127,Neutral
dont,433,,136,,542,,564,,243,Neutral
get,425,,111,,568,,387,,162,Neutral
would,405,,145,,470,,331,,165,Neutral
one,402,,116,,571,,430,,214,Neutral
know,382,,124,,500,,415,,193,Neutral
time,352,,89,,530,,276,,155,Neutral
vote,338,,154,,777,,943,,337,Neutral
need,318,,80,,473,,334,,147,Neutral
america,317,,141,,547,,447,,163,Neutral
say,298,,95,,388,,295,,164,Neutral
man,297,,105,,421,,164,,159,Neutral
u,296,,130,,699,,492,,217,Neutral
want,293,,116,,407,,366,,185,Neutral
god,287,,118,,184,,132,,79,Neutral
going,280,,53,,349,,260,,107,Neutral
even,271,,78,,423,,282,,136,Neutral
american,267,,130,,561,,462,,151,Neutral
go,266,,94,,489,,287,,141,Neutral
think,262,,101,,378,,266,,126,Neutral
make,256,,118,,391,,335,,174,Neutral
country,253,,98,,669,,421,,150,Neutral
donald,250,,72,,126,,121,,49,Neutral
court,242,,5,,40,,20,,11,Neutral
love,237,,79,,423,,433,,204,Positiva
see,232,,87,,352,,273,,123,Neutral
guy,232,,134,,372,,146,,207,Neutral
cant,229,,68,,381,,292,,126,Neutral
right,227,,108,,321,,272,,128,Positiva
never,221,,82,,265,,206,,107,Neutral
im,213,,96,,482,,397,,153,Neutral
thats,211,,62,,328,,223,,134,Neutral
year,211,,75,,749,,377,,172,Neutral
world,204,,41,,382,,236,,76,Neutral
election,203,,42,,233,,138,,69,Neutral
way,199,,77,,319,,216,,96,Neutral
thing,197,,67,,296,,203,,110,Neutral
look,196,,79,,337,,229,,116,Neutral
day,190,,37,,182,,128,,70,Neutral
good,182,,96,,253,,219,,97,Positiva
let,182,,61,,297,,234,,122,Neutral
doe,179,,57,,198,,141,,77,Neutral
didnt,178,,49,,212,,150,,86,Neutral
win,175,,47,,196,,184,,62,Positiva
back,174,,45,,254,,175,,84,Neutral
democrat,174,,71,,311,,257,,133,Neutral
really,174,,74,,246,,198,,86,Neutral
life,171,,32,,171,,179,,54,Neutral
said,169,,69,,250,,230,,124,Neutral
great,169,,114,,408,,257,,137,Positiva
doesnt,168,,53,,242,,170,,72,Neutral
put,168,,29,,141,,92,,75,Neutral
family,165,,36,,140,,142,,86,Neutral
take,163,,58,,290,,166,,64,Neutral
nothing,163,,37,,186,,177,,79,Neutral
could,162,,49,,234,,117,,92,Neutral
lie,161,,60,,228,,179,,103,Negativa
joe,157,,25,,1273,,94,,29,Neutral
money,156,,33,,179,,134,,53,Neutral
woman,152,,106,,114,,402,,83,Neutral
